trials_total.thisRepN,trials_total.thisTrialN,trials_total.thisN,trials_total.thisIndex,SubjID,Block,Miniblock,Trial,StimulusType,Word,WordCongruency,Word Orientation,WordPTime,ButtonPress,Accuracy,ButtonPressTime,RT,date,frameRate,expName,session,participant,
0,-1,-1,0,,1,1,1,diagnostic,cold,inc,italic,6.00795795117,d,0,6.59132187883,583.363927668,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,1,2,diagnostic,tone,inc,upright,9.50781383878,d,1,9.94119645446,433.38261568,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,1,3,diagnostic,cold,inc,italic,13.007818507,j,1,13.3078226934,300.004186342,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,1,4,diagnostic,cold,inc,upright,16.507745472,d,1,16.9077334853,399.98801332,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,1,5,diagnostic,tone,cong,italic,20.0077808602,d,0,20.4577308199,449.949959759,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,1,6,inducer,cold,none,word,23.5076665641,j,1,23.9076940313,400.027467171,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,2,1,inducer,chain,none,word,6.00772182969,none,0,6.5909568544,583.235024707,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,2,2,inducer,grab,none,word,9.50763403717,j,0,9.50763403717,0.0,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,3,1,diagnostic,failed,inc,upright,6.01093566976,none,0,6.59420292033,583.267250564,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,3,2,diagnostic,cities,inc,italic,9.51099183899,j,1,9.51099183899,0.0,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,3,3,diagnostic,failed,inc,upright,13.0108977219,j,0,13.3275487626,316.651040688,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,3,4,diagnostic,cities,cong,italic,16.5107048191,j,1,16.8773578627,366.653043544,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,3,5,diagnostic,failed,cong,upright,20.0106724428,j,0,20.2940309795,283.358536661,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,3,6,inducer,cities,none,word,23.5106210925,j,1,23.8608947252,350.273632677,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
0,-1,-1,0,,1,3,7,inducer,failed,none,word,27.0104787871,j,0,27.3938371129,383.358325809,2018_Oct_19_1056,60.0127785575,Diag Induc,001,,
